timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1539760413646,516,HTTP Request,200,OK,Thread Group 1-7,text,true,,561,143,32,32,516,0,239
1539760413893,276,HTTP Request,200,OK,Thread Group 1-22,text,true,,510,143,32,32,276,0,0
1539760413951,234,HTTP Request,503,Service Not Available,Thread Group 1-2,text,false,,1098,143,32,32,234,0,0
1539760413928,273,HTTP Request,200,OK,Thread Group 1-17,text,true,,558,143,32,32,273,0,0
1539760413743,466,HTTP Request,503,Service Not Available,Thread Group 1-28,text,false,,1098,143,32,32,466,0,234
1539760413943,290,HTTP Request,200,OK,Thread Group 1-4,text,true,,558,143,32,32,290,0,0
1539760413998,237,HTTP Request,503,Service Not Available,Thread Group 1-11,text,false,,1098,143,32,32,237,0,0
1539760414009,234,HTTP Request,503,Service Not Available,Thread Group 1-12,text,false,,1098,143,32,32,234,0,0
1539760413975,274,HTTP Request,200,OK,Thread Group 1-25,text,true,,570,143,33,33,274,0,0
1539760414000,276,HTTP Request,200,OK,Thread Group 1-26,text,true,,522,143,33,33,276,0,0
1539760414104,231,HTTP Request,503,Service Not Available,Thread Group 1-6,text,false,,1098,143,33,33,231,0,0
1539760413845,492,HTTP Request,200,OK,Thread Group 1-29,text,true,,544,143,33,33,492,0,231
1539760414103,241,HTTP Request,200,OK,Thread Group 1-27,text,true,,524,143,33,33,241,0,0
1539760414138,233,HTTP Request,503,Service Not Available,Thread Group 1-18,text,false,,1098,143,34,34,233,0,0
1539760414146,227,HTTP Request,503,Service Not Available,Thread Group 1-23,text,false,,1098,143,34,34,227,0,0
1539760414144,229,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,34,34,229,0,0
1539760414147,228,HTTP Request,503,Service Not Available,Thread Group 1-15,text,false,,1098,143,34,34,228,0,0
1539760414117,275,HTTP Request,200,OK,Thread Group 1-19,text,true,,576,143,34,34,275,0,0
1539760414164,232,HTTP Request,503,Service Not Available,Thread Group 1-7,text,false,,1098,148,34,34,232,0,0
1539760413948,464,HTTP Request,503,Service Not Available,Thread Group 1-30,text,false,,1098,143,34,34,464,0,234
1539760414186,239,HTTP Request,503,Service Not Available,Thread Group 1-2,text,false,,1098,143,34,34,239,0,0
1539760414124,304,HTTP Request,200,OK,Thread Group 1-21,text,true,,561,143,34,34,304,0,0
1539760414210,232,HTTP Request,503,Service Not Available,Thread Group 1-28,text,false,,1098,143,34,34,232,0,0
1539760414170,285,HTTP Request,200,OK,Thread Group 1-22,text,true,,512,143,35,35,285,0,0
1539760414250,234,HTTP Request,503,Service Not Available,Thread Group 1-25,text,false,,1098,143,35,35,234,0,0
1539760414234,260,HTTP Request,200,OK,Thread Group 1-4,text,true,,521,143,35,35,260,0,0
1539760414014,496,HTTP Request,200,OK,Thread Group 1-8,text,true,,523,143,35,35,496,0,232
1539760414278,263,HTTP Request,200,OK,Thread Group 1-26,text,true,,542,143,35,35,263,0,0
1539760414202,363,HTTP Request,200,OK,Thread Group 1-17,text,true,,515,143,36,36,363,0,0
1539760414344,221,HTTP Request,503,Service Not Available,Thread Group 1-27,text,false,,1098,143,36,36,221,0,0
1539760414337,253,HTTP Request,200,OK,Thread Group 1-29,text,true,,552,143,36,36,253,0,0
1539760414373,220,HTTP Request,503,Service Not Available,Thread Group 1-23,text,false,,1098,143,36,36,220,0,0
1539760414376,221,HTTP Request,503,Service Not Available,Thread Group 1-15,text,false,,1098,143,36,36,221,0,0
1539760414374,224,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,36,36,224,0,0
1539760413803,807,HTTP Request,200,OK,Thread Group 1-14,text,true,,521,143,36,36,807,0,0
1539760414149,466,HTTP Request,503,Service Not Available,Thread Group 1-32,text,false,,1098,143,36,36,466,0,232
1539760414393,227,HTTP Request,503,Service Not Available,Thread Group 1-19,text,false,,1098,143,36,36,227,0,0
1539760414397,236,HTTP Request,503,Service Not Available,Thread Group 1-7,text,false,,1098,143,36,36,236,0,0
1539760414412,223,HTTP Request,503,Service Not Available,Thread Group 1-30,text,false,,1098,143,36,36,223,0,0
1539760414336,306,HTTP Request,200,OK,Thread Group 1-6,text,true,,552,143,36,36,306,0,0
1539760414429,222,HTTP Request,503,Service Not Available,Thread Group 1-21,text,false,,1098,143,37,37,222,0,0
1539760414444,221,HTTP Request,503,Service Not Available,Thread Group 1-28,text,false,,1098,143,37,37,221,0,0
1539760414243,448,HTTP Request,503,Service Not Available,Thread Group 1-12,text,false,,1098,143,37,37,448,0,225
1539760414246,450,HTTP Request,503,Service Not Available,Thread Group 1-33,text,false,,1098,143,37,37,450,0,228
1539760414426,273,HTTP Request,200,OK,Thread Group 1-2,text,true,,523,143,37,37,273,0,0
1539760414484,235,HTTP Request,503,Service Not Available,Thread Group 1-25,text,false,,1098,143,37,37,235,0,0
1539760414495,225,HTTP Request,503,Service Not Available,Thread Group 1-4,text,false,,1098,143,37,37,225,0,0
1539760414456,264,HTTP Request,200,OK,Thread Group 1-22,text,true,,561,143,37,37,264,0,0
1539760412941,1792,HTTP Request,200,OK,Thread Group 1-20,text,true,,558,143,37,37,1792,0,1560
1539760411225,3511,HTTP Request,200,OK,Thread Group 1-3,text,true,,554,143,37,37,3511,0,3238
1539760414511,275,HTTP Request,200,OK,Thread Group 1-8,text,true,,573,143,38,38,275,0,0
1539760414566,230,HTTP Request,503,Service Not Available,Thread Group 1-17,text,false,,1098,148,38,38,230,0,0
1539760414349,462,HTTP Request,503,Service Not Available,Thread Group 1-34,text,false,,1098,143,38,38,462,0,230
1539760414542,277,HTTP Request,200,OK,Thread Group 1-26,text,true,,549,143,38,38,277,0,0
1539760414593,229,HTTP Request,503,Service Not Available,Thread Group 1-23,text,false,,1098,143,38,38,229,0,0
